danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.369,0.311,11,-13.097,0,0.0506,0.898,0.0463,0.106,0.284,94.055,audio_features,62RIgScHsRDWQHwBGVBvDF,spotify:track:62RIgScHsRDWQHwBGVBvDF,https://api.spotify.com/v1/tracks/62RIgScHsRDWQHwBGVBvDF,https://api.spotify.com/v1/audio-analysis/62RIgScHsRDWQHwBGVBvDF,196596,4
0.732,0.436,11,-12.763,0,0.033,0.379,0.0148,0.108,0.517,126.016,audio_features,5gGvmMgnq66xLSEoDx9iJQ,spotify:track:5gGvmMgnq66xLSEoDx9iJQ,https://api.spotify.com/v1/tracks/5gGvmMgnq66xLSEoDx9iJQ,https://api.spotify.com/v1/audio-analysis/5gGvmMgnq66xLSEoDx9iJQ,351260,4
0.73,0.685,8,-6.939,1,0.0377,0.189,1.17e-05,0.702,0.155,123.094,audio_features,6atEnsEnO6g0ZDJH1gRIG9,spotify:track:6atEnsEnO6g0ZDJH1gRIG9,https://api.spotify.com/v1/tracks/6atEnsEnO6g0ZDJH1gRIG9,https://api.spotify.com/v1/audio-analysis/6atEnsEnO6g0ZDJH1gRIG9,194811,4
0.336,0.727,0,-6.809,1,0.041,0.00185,0.718,0.151,0.175,157.871,audio_features,1kSGzvlAg9TnPYFMpEtuMF,spotify:track:1kSGzvlAg9TnPYFMpEtuMF,https://api.spotify.com/v1/tracks/1kSGzvlAg9TnPYFMpEtuMF,https://api.spotify.com/v1/audio-analysis/1kSGzvlAg9TnPYFMpEtuMF,298531,4
0.496,0.703,1,-6.834,0,0.0304,0.202,0.0272,0.143,0.335,96.971,audio_features,0zpQOcfbdOUu7uEl5SpHS9,spotify:track:0zpQOcfbdOUu7uEl5SpHS9,https://api.spotify.com/v1/tracks/0zpQOcfbdOUu7uEl5SpHS9,https://api.spotify.com/v1/audio-analysis/0zpQOcfbdOUu7uEl5SpHS9,248747,4
0.501,0.455,4,-12.501,0,0.0302,0.175,7.03e-06,0.0883,0.283,147.969,audio_features,5IxiIT4HFITf9w8MRZXilJ,spotify:track:5IxiIT4HFITf9w8MRZXilJ,https://api.spotify.com/v1/tracks/5IxiIT4HFITf9w8MRZXilJ,https://api.spotify.com/v1/audio-analysis/5IxiIT4HFITf9w8MRZXilJ,286933,4
0.569,0.887,9,-7.185,0,0.0394,0.0751,2.92e-06,0.113,0.705,138.022,audio_features,6KWgd8NvN40pX7oVE526d1,spotify:track:6KWgd8NvN40pX7oVE526d1,https://api.spotify.com/v1/tracks/6KWgd8NvN40pX7oVE526d1,https://api.spotify.com/v1/audio-analysis/6KWgd8NvN40pX7oVE526d1,295734,4
0.559,0.538,0,-5.113,1,0.0236,0.326,1.32e-05,0.0634,0.412,94.97,audio_features,1y0IYvpY2E50VoiCfh8UBN,spotify:track:1y0IYvpY2E50VoiCfh8UBN,https://api.spotify.com/v1/tracks/1y0IYvpY2E50VoiCfh8UBN,https://api.spotify.com/v1/audio-analysis/1y0IYvpY2E50VoiCfh8UBN,269520,4
0.496,0.667,2,-5.998,0,0.0302,0.544,0,0.111,0.418,145.991,audio_features,1yokt5PM6mSdbqfgAxsIl0,spotify:track:1yokt5PM6mSdbqfgAxsIl0,https://api.spotify.com/v1/tracks/1yokt5PM6mSdbqfgAxsIl0,https://api.spotify.com/v1/audio-analysis/1yokt5PM6mSdbqfgAxsIl0,277133,4
0.558,0.687,11,-7.25,1,0.0369,0.293,0,0.104,0.298,113.037,audio_features,0P8nTYjWsTAoxr7cNZJQUg,spotify:track:0P8nTYjWsTAoxr7cNZJQUg,https://api.spotify.com/v1/tracks/0P8nTYjWsTAoxr7cNZJQUg,https://api.spotify.com/v1/audio-analysis/0P8nTYjWsTAoxr7cNZJQUg,296867,4
